Year,Display Text,Link
2024,ACSA Infilling the Missing Middle: Leveraging Scripting Tools to Identify Small-Scale Odd Lots,https://www.acsa-arch.org/conference/112th-annual-meeting/friday-march-15-2024/
2023,ACADIA The Colors We Share,https://papers.cumincad.org/data/works/att/acadia23_v1_40.pdf
2023,ACADIA Affective Loop,https://docs.google.com/spreadsheets/d/1cC350WWeFxs25bEs_pjxAezB5AaxYdDDW2gx-mQKgds/edit#gid=219680350
2023,LOG 57 Drunk Datums,https://www.anycorp.com/store/log57/blackisanblackaint
2023,Thresholds 51 The Color of Air,https://direct.mit.edu/thld/issue/number/51
2023,ACSA Digital Assemblies,https://web.archive.org/web/20230806061317/https://www.acsa-arch.org/proceedings/Annual%20Meeting%20Proceedings/ACSA.AM.111/ACSA.AM.111.22.pdf
2023,BTES Pet Parcels,https://www.imaiconway.com/
2023,NCBDS Pet Parcels,https://www.imaiconway.com/
2023,USC SPACE Buildings Are Frozen Architecture,https://www.instagram.com/space_usc/
2023,UCLA POOL Leftover Lots,https://www.pool-la.com/shop/issue-no-8-residue
2022,UCLA POOL Floating Architecture,https://www.pool-la.com/shop/issue-no7-float
2022,ACSA Pet Parcels,https://www.acsa-arch.org/chapter/pet-parcels/
2021,ACADIA Data Waltz,https://papers.cumincad.org/data/works/att/acadia21_92.pdf
